Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles,State,lat,lng
2020-07-12,"Montclair, NJ",300.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.northjersey.com/story/news/essex/montclair/2020/07/12/montclair-nj-marchers-demand-justice-for-black-women-lgbtq-community/5425430002/,1, NJ,40.8259007,-74.2090053
2020-07-12,"State Capitol, St. Paul, MN",1000.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://minnesota.cbslocal.com/2020/07/12/it-needs-to-stop-national-mothers-march-calls-for-the-end-of-police-violence/,2, MN,44.95515,-93.102233
2020-07-12,"Minneapolis, MN",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://minnesota.cbslocal.com/2020/07/12/alabama-man-reaches-floyds-memorial-after-setting-out-on-1000-mile-protest-walk/,1, MN,44.977753,-93.2650108
2020-07-12,"Conway, AR",0.0,Racial Injustice,Civil Rights; For racial justice; Against business,Yes,https://www.arkansasonline.com/news/2020/jul/12/3-people-arrested-during-black-lives-matter-protes/?news-arkansas,1, AR,35.0886963,-92.4421011
2020-07-12,"Central Islip, NY",150.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.newsday.com/long-island/protest-black-lives-matter-police-1.46712177,1, NY,40.7906538,-73.20178109999999
2020-07-12,"Freeport, NY",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.newsday.com/long-island/protest-black-lives-matter-police-1.46712177,1, NY,40.6576022,-73.58318349999999
2020-07-12,"Bayside, Queens, NY",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://qns.com/story/2020/07/12/pro-police-demonstrator-clash-with-black-lives-matter-protesters-in-bayside/,3, NY,40.7585569,-73.7654367
2020-07-12,"Jeffersonville, IN",20.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Counter protest; Police,Yes,https://www.newsandtribune.com/news/speakers-back-the-blue-during-rally-as-protesters-continue-calls-for-justice/article_ab2cec1c-c47d-11ea-92ec-df0aa543b8de.html,3, IN,38.2775702,-85.7371847
2020-07-12,"Kokomo, IN",30.0,Racial Injustice,Civil Rights; For racial justice,Yes,https://www.kokomotribune.com/news/local_news/residents-protest-local-pastor-who-said-god-is-against-mixing-races/article_9c3b319c-c468-11ea-82b3-6b51c5bb09f9.html,1, IN,40.486427,-86.13360329999999
2020-07-12,"Moscow, ID",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://dnews.com/local/it-s-not-over-protesters-vow/article_ac53c60a-ba39-54c3-80dc-d288960fa9d8.html,1, ID,46.73238749999999,-117.000165
2020-07-12,"Joliet, IL",80.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.theherald-news.com/2020/07/13/3-arrested-at-joliet-protest-sunday-on-obstruction-charges/a2xaxqc/,3, IL,41.525031,-88.0817251
2020-07-12,"Bay Ridge, Brooklyn, NY",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.brooklynpaper.com/pro-police-marchers-clash-with-counter-protesters-at-southern-brooklyn-rallies/,2, NY,40.6263732,-74.0298767
2020-07-12,"St. Petersburg, FL",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.tampabay.com/life-culture/2020/07/13/clergy-attended-st-petersburg-protest-on-a-sunday-no-cursing-allowed/,1, FL,27.7676008,-82.64029149999999
2020-07-12,"New Smyrna Beach, FL",50.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.news-journalonline.com/news/20200713/new-smyrna-beachrsquos-sunday-protest-starts-with-sign-making-in-park,1, FL,29.0258191,-80.9269984
2020-07-12,"Middleton High School, Middleton, WI",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.channel3000.com/we-want-to-make-sure-racists-have-no-place-to-go-hundreds-join-middleton-march-for-black-lives/,1, WI,43.0999588,-89.5070272
2020-07-12,"Winston-Salem, NC",25.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.journalnow.com/news/local/a-group-of-25-demonstrators-gathered-sunday-night-to-discuss-abolishing-the-countrys-prisons/article_7f5e197b-8f09-56c2-983f-8be892ffee97.html,3, NC,36.09985959999999,-80.244216
2020-07-12,"Marquette, MI",0.0,Racial Injustice,Civil Rights; For racial justice; Against business,Yes,https://www.uppermichiganssource.com/2020/07/13/peaceful-protest-gets-tense-at-local-marquette-bakery/,1, MI,46.5436199,-87.3953713
2020-07-12,"Grand Rapids, MI",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.fox17online.com/news/local-news/grand-rapids/unpermitted-pop-up-protest-leads-to-five-arrests-in-grand-rapids,1, MI,42.9633599,-85.6680863
2020-07-12,"Texas A&M, College Station, TX",20.0,Racial Injustice,Civil Rights; For racial justice; Against Confederate symbol,Yes,https://www.theeagle.com/news/local/watch-now-opposing-sides-debate-texas-a-m-s-sul-ross-statue-at-sunday-protest/article_87ad05a8-c4b2-11ea-8802-fb77f6b837a4.html,1, TX,30.6187558,-96.33647719999999
2020-07-12,"DeFuniak Springs, FL",50.0,Racial Injustice,Civil Rights; For racial justice; Against Confederate symbol,Yes,https://www.nwfdailynews.com/news/20200712/scuffle-mars-protest-seeking-removal-of-civil-war-memorial-from-walton-county-courthouse-grounds,3, FL,30.7210227,-86.11521839999999
2020-07-12,"Salt Lake City, UT",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://apnews.com/2288e1b69bb2ea785e52b98c3869b894,1, UT,40.7607793,-111.8910474
2020-07-12,"Detroit, MI",150.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.detroitnews.com/story/news/local/detroit-city/2020/07/12/protesters-call-activists-release-prosecutor-finds-insufficient-evidence-charge/5425323002/,2, MI,42.331427,-83.0457538
2020-07-12,"New Haven, CT",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.courant.com/news/connecticut/hc-news-connecticut-south-asian-blm-20200714-q6yj3frr4nhr3b2inyicifkemy-story.html,1, CT,41.308274,-72.9278835
2020-07-12,"Portland, OR",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://pamplinmedia.com/pt/9-news/473573-382937-riot-declared-at-portland-protest-near-police-union-hall,52, OR,45.5051064,-122.6750261
2020-07-12,"Bowling Green, KY",20.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.bgdailynews.com/news/slide-show-community-members-march-in-silence-against-racial-injustice-violence/collection_c74d6ff4-4d04-5614-b2ff-d52c5391de1f.html,1, KY,36.9685219,-86.4808043
2020-07-12,"State Capitol, Providence, RI",200.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.wpri.com/news/local-news/providence/defund-the-police-rally-held-at-the-rhode-island-state-house/,1, RI,41.8307662,-71.4153037
